Date,Time,Artist(s),Instruments/Details,Venue
2025-12-23,17:15 - 18:50,Vid. Vivek Moozhikulam,"Vocal; Violin: Vid. S. R. Mahadeva Sharma; Mridangam: Vid. B. S. Prashanth; Ghatam: Vid. Udipi Balakrishnan","Sri Krishna Saras Hall No 6, 124-c, PS Siva Swamy Rd, Kattukoil Garden, Mylapore, Chennai"
2025-12-23,19:00 - 21:00,Vid. Neyveli Santhanagopalan,"Vocal; Violin: Vid. Delhi Sunder Rajan; Mridangam: Vid. B. Ganapathyraman","Sri Krishna Saras Hall No 6, 124-c, PS Siva Swamy Rd, Kattukoil Garden, Mylapore, Chennai"
2025-12-24,17:00 - 18:50,Vid. Abilash Giriprasad,"Vocal; Violin: Vid. Delhi R Sridhar; Mridangam: Vid. Tiruvarur Vaidyanathan; Ghatam: Vid. Trivandrum R Rajesh","Sri Krishna Saras Hall No 6, 124-c, PS Siva Swamy Rd, Kattukoil Garden, Mylapore, Chennai"
2025-12-24,19:00 - 21:00,Vid. Rama Varma,"Vocal; Violin: Vid. Avaneeswaram S. R. Vinu; Mridangam: Vid. Trichy B. Harikumar; Ghatam: Vid. Trichy Krishnaswamy; Morsing: Vid. Payyannur Govinda Prasad","Sri Krishna Saras Hall No 6, 124-c, PS Siva Swamy Rd, Kattukoil Garden, Mylapore, Chennai"
2025-12-25,17:00 - 18:50,Dr K Gayatri,"Vocal; Violin: Vid. Sanjay Suresh; Mridangam: Vid. Poongalum Subramaniam; Ghatam: Vid. Trivandrum R Rajesh","Sri Krishna Saras Hall No 6, 124-c, PS Siva Swamy Rd, Kattukoil Garden, Mylapore, Chennai"
2025-12-25,19:00 - 21:00,Vid. A. S. Murali,"Vocal; Violin: Vid. V. L. Kumar; Mridangam: Vid. Srimushnam Rajarao; Morsing: Vid. A. S. Krishnan","Sri Krishna Saras Hall No 6, 124-c, PS Siva Swamy Rd, Kattukoil Garden, Mylapore, Chennai"
2025-12-26,17:00 - 18:50,Vid. Anahita & Vid. Apoorva,"Vocal; Violin: Vid. Sanjay Suresh; Mridangam: Vid. B N Kasinadh; Ghatam: Vid. Udipi Balakrishnan","Sri Krishna Saras Hall No 6, 124-c, PS Siva Swamy Rd, Kattukoil Garden, Mylapore, Chennai"
2025-12-26,19:00 - 21:00,Dr R Suryaprakash,"Vocal; Violin: Vid. Bombay R. Madhavan; Mridangam: Vid. Srimushnam Rajarao; Ghatam: Vid. S. V. Ramani","Sri Krishna Saras Hall No 6, 124-c, PS Siva Swamy Rd, Kattukoil Garden, Mylapore, Chennai"
2025-12-27,17:00 - 18:50,Vid. Savita Sreeram & Vid. Suchithra Balasubramanian,"Namasankeerthanam; Harmonium: Vid. N Chandrasekar; Mridangam: Vid. Venkata Subramanian","Sri Krishna Saras Hall No 6, 124-c, PS Siva Swamy Rd, Kattukoil Garden, Mylapore, Chennai"
2025-12-27,19:00 - 21:00,Vid. V. K. Manimaran,"Vocal; Violin: Vid. Anayampatti G.Venkatasubramanyam; Mridangam: Vid. Poongalum Subramaniam; Kanjira: Vid. Trivandrum D Rajagopal","Sri Krishna Saras Hall No 6, 124-c, PS Siva Swamy Rd, Kattukoil Garden, Mylapore, Chennai"
2025-12-28,17:00 - 18:50,Vid. Amrutha Venkatesh,"Vocal; Violin: Vid. Trivandrum Dr N Sampath; Mridangam: Vid. Nanjil Arul; Morsing: Vid. Thirunakkara Rethish","Sri Krishna Saras Hall No 6, 124-c, PS Siva Swamy Rd, Kattukoil Garden, Mylapore, Chennai"
2025-12-28,19:00 - 21:00,Mysore brothers Vid. Mysore Nagaraj & Dr. Mysore Manjunath,"Vocal; Mridangam: Vid. Srimushnam Rajarao; Ghatam: Dr. Suresh Vaidyanathan","Sri Krishna Saras Hall No 6, 124-c, PS Siva Swamy Rd, Kattukoil Garden, Mylapore, Chennai"